-----------------------------------------------------------
Family information: example_data.tab
Log: log.txt
The number of families is 59
Root Family size : 1 ~ 42
Family size : 0 ~ 84
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((2,2)1,(1,1)1)1,1)
Empirical Prior Estimation Result: (43 iterations)
Poisson lambda: 9.442907 & Score: 909.325700
Lambda : 0.00968658613161,0.00039317276108 & Score: -2489.560695
.Lambda : 0.01075268815081,0.14900657914383 & Score: -1119.096007
.Lambda : 0.01075268825695,0.14900372649482 & Score: -inf
.Lambda : 0.01075268809812,0.14899730185338 & Score: -1119.096005
.Lambda : 0.01075268811168,0.14898891756104 & Score: -1119.096003
.Lambda : 0.01075268824417,0.14899070355725 & Score: -inf
.Lambda : 0.01075268818771,0.14899422595484 & Score: -inf
.Lambda : 0.01075268813124,0.14899774835243 & Score: -1119.096005
.Lambda : 0.01075268806500,0.14899685535432 & Score: -1119.096005
.Lambda : 0.01075268817793,0.14898981055914 & Score: -inf
.Lambda : 0.01075268814969,0.14899157175794 & Score: -1119.096003
.Lambda : 0.01075268813013,0.14898274096654 & Score: -1119.096001
.Lambda : 0.01075268812958,0.14897523727360 & Score: -1119.096000
.Lambda : 0.01075268809157,0.14897258307669 & Score: -1119.096000
.Lambda : 0.01075268806250,0.14896308873607 & Score: -1119.095999
.Lambda : 0.01075268808040,0.14894940844863 & Score: -1119.095996
.Lambda : 0.01075268806475,0.14892965389243 & Score: -1119.095994
.Lambda : 0.01075268799768,0.14891750535490 & Score: -1119.095994
.Lambda : 0.01075268793173,0.14888863939555 & Score: -1119.095993
.Lambda : 0.01075268793398,0.14885520455191 & Score: -1119.095994
.Lambda : 0.01075268780095,0.14881419005504 & Score: -1119.095999
.Lambda : 0.01075268786690,0.14884305601439 & Score: -1119.095995
.Lambda : 0.01075268793285,0.14887192197373 & Score: -1119.095993
.Lambda : 0.01075268799824,0.14890914664399 & Score: -1119.095993
.Lambda : 0.01075268786634,0.14885141472530 & Score: -1119.095995
.Lambda : 0.01075268789932,0.14886584770497 & Score: -1119.095994
.Lambda : 0.01075268793229,0.14888028068464 & Score: -1119.095993
.Lambda : 0.01075268796555,0.14889053430886 & Score: -1119.095993
.Lambda : 0.01075268796498,0.14889889301977 & Score: -1119.095993
.Lambda : 0.01075268799824,0.14890914664399 & Score: -1119.095993
.Lambda : 0.01075268798175,0.14890193015415 & Score: -1119.095993
.Lambda : 0.01075268798232,0.14889357144324 & Score: -1119.095993
.Lambda : 0.01075268799098,0.14889091065498 & Score: -1119.095992
.Lambda : 0.01075268797478,0.14887951480969 & Score: -1119.095993
.Lambda : 0.01075268800021,0.14887989115581 & Score: -1119.095992
.Lambda : 0.01075268801754,0.14887456957928 & Score: -1119.095992
.Lambda : 0.01075268803375,0.14888596542457 & Score: -1119.095992
.Lambda : 0.01075268806324,0.14888919073201 & Score: -1119.095992
.Lambda : 0.01075268808980,0.14887284965631 & Score: -1119.095991
.Lambda : 0.01075268813920,0.14886381915697 & Score: -1119.095991
.Lambda : 0.01075268818490,0.14887844030970 & Score: -inf
.Lambda : 0.01075268814306,0.14887747262710 & Score: -1119.095991
.Lambda : 0.01075268821903,0.14885210105206 & Score: -inf
.Lambda : 0.01075268818008,0.14886137347204 & Score: -inf
.Lambda : 0.01075268814113,0.14887064589203 & Score: -1119.095991
.Lambda : 0.01075268810315,0.14888333167955 & Score: -1119.095991
.Lambda : 0.01075268818104,0.14886478683958 & Score: -inf
.Lambda : 0.01075268816157,0.14886942304957 & Score: -1119.095990
.Lambda : 0.01075268816350,0.14887624978463 & Score: -1119.095990
.Lambda : 0.01075268817468,0.14887905173093 & Score: -inf
.Lambda : 0.01075268818201,0.14886820020711 & Score: -inf
.Lambda : 0.01075268817227,0.14887051831210 & Score: -inf
.Lambda : 0.01075268816253,0.14887283641710 & Score: -1119.095990
.Lambda : 0.01075268815328,0.14887686120586 & Score: -1119.095990
.Lambda : 0.01075268817275,0.14887222499587 & Score: -inf
.Lambda : 0.01075268816788,0.14887338404837 & Score: -1119.095990
.Lambda : 0.01075268816885,0.14887679741590 & Score: -1119.095990
.Lambda : 0.01075268817200,0.14887877791530 & Score: -1119.095990
.Lambda : 0.01075268817639,0.14887591217904 & Score: -inf
.Lambda : 0.01075268817317,0.14887599658043 & Score: -inf
.Lambda : 0.01075268816994,0.14887608098183 & Score: -1119.095990
.Lambda : 0.01075268816775,0.14887751384997 & Score: -1119.095990
.Lambda : 0.01075268817420,0.14887734504717 & Score: -inf
.Lambda : 0.01075268817259,0.14887738724787 & Score: -inf
.Lambda : 0.01075268817097,0.14887742944857 & Score: -1119.095990
.Lambda : 0.01075268816988,0.14887814588263 & Score: -1119.095990
.Lambda : 0.01075268817310,0.14887806148123 & Score: -inf
.Lambda : 0.01075268817229,0.14887808258158 & Score: -inf
.Lambda : 0.01075268817149,0.14887810368193 & Score: -1119.095990
.Lambda : 0.01075268817094,0.14887846189897 & Score: -1119.095990
.
Lambda Search Result: 98
Lambda : 0.01075268817200,0.14887877791530 & Score: 1119.095990
DONE: Lambda Search or setting, for command:
lambda -s -t (((2,2)1,(1,1)1)1,1) 
-----------------------------------------------------------
Family information: example_data.tab
Log: log.txt
The number of families is 59
Root Family size : 1 ~ 42
Family size : 0 ~ 84
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((2,2)1,(1,1)1)1,1)
Empirical Prior Estimation Result: (41 iterations)
Poisson lambda: 9.442907 & Score: 909.325700
Lambda : 0.00528821221963,0.00449636044802 & Score: -1766.942999
.Lambda : 0.00555262283062,0.00449636044802 & Score: -1754.962257
.Lambda : 0.00528821221963,0.00472117847042 & Score: -1752.051292
.Lambda : 0.00555262283062,0.00472117847042 & Score: -1740.072709
.Lambda : 0.00568482813611,0.00483358748162 & Score: -1727.321394
.Lambda : 0.00542041752512,0.00505840550402 & Score: -1725.112307
.Lambda : 0.00535431487238,0.00533942803202 & Score: -1712.022771
.Lambda : 0.00575093078885,0.00545183704322 & Score: -1688.641692
.Lambda : 0.00598229007346,0.00581716632962 & Score: -1660.552957
.Lambda : 0.00565177680973,0.00632300688003 & Score: -1649.745751
.Lambda : 0.00563525114655,0.00706771657923 & Score: -1619.163306
.Lambda : 0.00626322634763,0.00754545487683 & Score: -1577.142865
.Lambda : 0.00671768208525,0.00864846829924 & Score: -1526.031135
.Lambda : 0.00637064315834,0.00989901854884 & Score: -1502.819619
.Lambda : 0.00656481970078,0.01193994465845 & Score: -1451.598326
.Lambda : 0.00764725063949,0.01352069637846 & Score: -1394.015837
.Lambda : 0.00865325038596,0.01674718627807 & Score: -1329.036681
.Lambda : 0.00850038800148,0.02003866263728 & Score: -1298.919826
.Lambda : 0.00939174095960,0.02573375980631 & Score: -1243.919374
.Lambda : 0.01148017164477,0.03054100142593 & Score: -inf
.Lambda : 0.01025133365877,0.02589073723406 & Score: -1231.041161
.Lambda : 0.01098982423241,0.03487731076230 & Score: -inf
.Lambda : 0.01040568077080,0.03034477964124 & Score: -1207.724224
.Lambda : 0.01126527346998,0.03050175706899 & Score: -inf
.Lambda : 0.01079689034238,0.02930975775332 & Score: -inf
.Lambda : 0.01032850721479,0.02811775843765 & Score: -1218.591536
.Lambda : 0.00989871086520,0.02803926972377 & Score: -1224.603478
.Lambda : 0.01083547712039,0.03042326835512 & Score: -inf
.Lambda : 0.01060128555659,0.02982726869728 & Score: -1207.552621
.Lambda : 0.01067845911260,0.03205428990087 & Score: -1197.752840
.Lambda : 0.01085343506151,0.03402255563248 & Score: -inf
.Lambda : 0.01087406389839,0.03153677895691 & Score: -inf
.Lambda : 0.01075696811650,0.03123877912799 & Score: -inf
.Lambda : 0.01063987233460,0.03094077929908 & Score: -1202.497958
.Lambda : 0.01054206994170,0.03119953477106 & Score: -1202.625501
.Lambda : 0.01077626150550,0.03179553442889 & Score: -inf
.Lambda : 0.01071771361455,0.03164653451443 & Score: -1198.841243
.Lambda : 0.01075630039256,0.03276004511623 & Score: -inf
.Lambda : 0.01072719337807,0.03230522866194 & Score: -1196.263790
.Lambda : 0.01068793887612,0.03271298404838 & Score: -1195.234220
.Lambda : 0.01067305150690,0.03324620881535 & Score: -1193.523852
.Lambda : 0.01072178577237,0.03349714757642 & Score: -1192.097567
.Lambda : 0.01074344910225,0.03421857641419 & Score: -1189.431260
.Lambda : 0.01068930723109,0.03515955656761 & Score: -1187.043884
.Lambda : 0.01067036415760,0.03658672052044 & Score: -1182.995735
.Lambda : 0.01074076175295,0.03755908811928 & Score: -1179.467106
.Lambda : 0.01077461687597,0.03971552777125 & Score: -inf
.Lambda : 0.01066767680830,0.03992723222553 & Score: -1174.249750
.Lambda : 0.01062979066132,0.04278156013119 & Score: -1168.317328
.Lambda : 0.01070018825667,0.04375392773004 & Score: -1165.530997
.Lambda : 0.01071510030620,0.04733753133484 & Score: -1158.855233
.Lambda : 0.01060412921457,0.05256000334675 & Score: -1152.420361
.Lambda : 0.01053581294538,0.06006046096048 & Score: -1144.829589
.Lambda : 0.01062112259026,0.06461643216412 & Score: -1139.860504
.Lambda : 0.01061678855473,0.07553386818059 & Score: -1132.877405
.Lambda : 0.01043750119392,0.08825679780623 & Score: -1129.785402
.Lambda : 0.01029870163778,0.10871643104193 & Score: -1126.945603
.Lambda : 0.01037967724713,0.12418983826204 & Score: -1124.315961
.Lambda : 0.01030160939800,0.15625452691282 & Score: -1124.593952
.Lambda : 0.01006159033018,0.15737240112338 & Score: -1127.740321
.Lambda : 0.01061678855473,0.07553386818059 & Score: -1132.877405
.Lambda : 0.01047798899859,0.09599350141629 & Score: -1127.131211
.Lambda : 0.01020038988631,0.13691276788769 & Score: -1125.987279
.Lambda : 0.01028136549566,0.15238617510779 & Score: -1124.808914
.Lambda : 0.01046065285648,0.13966324548215 & Score: -1122.645868
.Lambda : 0.01059078434156,0.14103848427938 & Score: -1121.051711
.Lambda : 0.01068909609302,0.11284214743363 & Score: -1121.667392
.Lambda : 0.01090020318745,0.12969079345096 & Score: -inf
.Lambda : 0.01077007170237,0.12831555465373 & Score: -inf
.Lambda : 0.01063994021729,0.12694031585650 & Score: -1120.996245
.Lambda : 0.01048523079434,0.13261416127071 & Score: -1122.560016
.Lambda : 0.01074549376450,0.13536463886517 & Score: -1119.387051
.Lambda : 0.01087562524958,0.13673987766240 & Score: -inf
.Lambda : 0.01079464964024,0.12126647044229 & Score: -inf
.Lambda : 0.01074368331557,0.12620947390156 & Score: -1119.836034
.Lambda : 0.01084923686278,0.13463379691023 & Score: -inf
.Lambda : 0.01079691270141,0.13271042664680 & Score: -inf
.Lambda : 0.01074458854004,0.13078705638337 & Score: -1119.578206
.Lambda : 0.01069271699090,0.13115247736084 & Score: -1120.159917
.Lambda : 0.01079736531364,0.13499921788770 & Score: -inf
.Lambda : 0.01077120323296,0.13403753275599 & Score: -inf
.Lambda : 0.01074504115227,0.13307584762427 & Score: -1119.474828
.Lambda : 0.01071910537770,0.13325855811300 & Score: -1119.765948
.Lambda : 0.01077142953907,0.13518192837644 & Score: -inf
.Lambda : 0.01075834849873,0.13470108581058 & Score: -inf
.Lambda : 0.01074526745839,0.13422024324472 & Score: -1119.429004
.Lambda : 0.01073229957110,0.13431159848909 & Score: -1119.574663
.Lambda : 0.01075846165179,0.13527328362080 & Score: -inf
.Lambda : 0.01075192113162,0.13503286233787 & Score: -1119.324404
.Lambda : 0.01075214743773,0.13617725795832 & Score: -1119.285123
.Lambda : 0.01075558742741,0.13715576531513 & Score: -inf
.Lambda : 0.01075857480485,0.13584548143103 & Score: -inf
.Lambda : 0.01075530454476,0.13572527078956 & Score: -inf
.Lambda : 0.01075203428468,0.13560506014810 & Score: -1119.304297
.Lambda : 0.01074882060112,0.13577094841175 & Score: -1119.335841
.Lambda : 0.01075536112129,0.13601136969468 & Score: -inf
.Lambda : 0.01075372599125,0.13595126437394 & Score: -inf
.Lambda : 0.01075209086121,0.13589115905321 & Score: -1119.294594
.Lambda : 0.01075048401943,0.13597410318504 & Score: -1119.310421
.Lambda : 0.01075375427951,0.13609431382650 & Score: -inf
.Lambda : 0.01075293671449,0.13606426116613 & Score: -inf
.Lambda : 0.01075211914947,0.13603420850577 & Score: -1119.289830
.Lambda : 0.01075131572858,0.13607568057168 & Score: -1119.297757
.Lambda : 0.01075295085862,0.13613578589241 & Score: -inf
.Lambda : 0.01075254207611,0.13612075956223 & Score: -1119.282327
.Lambda : 0.01075257036438,0.13626380901479 & Score: -1119.277655
.Lambda : 0.01075279597183,0.13637860926929 & Score: -inf
.Lambda : 0.01075296500276,0.13620731061869 & Score: -inf
.Lambda : 0.01075276061150,0.13619979745360 & Score: -inf
.Lambda : 0.01075255622025,0.13619228428851 & Score: -1119.279984
.Lambda : 0.01075235890106,0.13622053348656 & Score: -1119.281387
.Lambda : 0.01075276768357,0.13623555981674 & Score: -inf
.Lambda : 0.01075266548794,0.13623180323419 & Score: -1119.277534
.Lambda : 0.01075267963207,0.13630332796047 & Score: -1119.275213
.Lambda : 0.01075274133798,0.13635884979645 & Score: -inf
.Lambda : 0.01075277475563,0.13627132217988 & Score: -inf
.Lambda : 0.01075272365782,0.13626944388860 & Score: -inf
.Lambda : 0.01075267256001,0.13626756559733 & Score: -1119.276371
.Lambda : 0.01075262499822,0.13628356848763 & Score: -1119.276433
.Lambda : 0.01075272719385,0.13628732507017 & Score: -inf
.Lambda : 0.01075270164495,0.13628638592454 & Score: -inf
.Lambda : 0.01075267609604,0.13628544677890 & Score: -1119.275792
.Lambda : 0.01075265231515,0.13629344822405 & Score: -1119.275823
.Lambda : 0.01075270341296,0.13629532651532 & Score: -inf
.Lambda : 0.01075269063851,0.13629485694250 & Score: -inf
.Lambda : 0.01075267786405,0.13629438736969 & Score: -1119.275502
.Lambda : 0.01075266597361,0.13629838809226 & Score: -1119.275518
.Lambda : 0.01075269152252,0.13629932723790 & Score: -inf
.Lambda : 0.01075268513529,0.13629909245149 & Score: -1119.275277
.Lambda : 0.01075268690331,0.13630803304227 & Score: -1119.274988
.Lambda : 0.01075269142293,0.13631485587857 & Score: -inf
.Lambda : 0.01075268140009,0.13631226855126 & Score: -1119.274924
.Lambda : 0.01075267953249,0.13631885660114 & Score: -1119.274747
.Lambda : 0.01075268680372,0.13632356168294 & Score: -1119.274522
.Lambda : 0.01075269038955,0.13633367854418 & Score: -inf
.Lambda : 0.01075267943290,0.13633438524181 & Score: -1119.274282
.Lambda : 0.01075267569770,0.13634756134158 & Score: -1119.273930
.Lambda : 0.01075268296894,0.13635226642338 & Score: -1119.273706
.Lambda : 0.01075268468716,0.13636897133450 & Score: -1119.273186
.Lambda : 0.01075267358114,0.13639297099313 & Score: -1119.272596
.Lambda : 0.01075266696985,0.13642767564823 & Score: -1119.271638
.Lambda : 0.01075267595931,0.13644908564115 & Score: -1119.270899
.Lambda : 0.01075267609011,0.13649984779094 & Score: -1119.269395
.Lambda : 0.01075265837280,0.13655855210467 & Score: -1119.267869
.Lambda : 0.01075264521561,0.13665334248975 & Score: -1119.265248
.Lambda : 0.01075265433588,0.13672551463246 & Score: -1119.263050
.Lambda : 0.01075264801889,0.13687443412457 & Score: -1119.258848
.Lambda : 0.01075261714440,0.13702792882339 & Score: -1119.254859
.Lambda : 0.01075258767154,0.13729196933962 & Score: -1119.247880
.Lambda : 0.01075259047482,0.13751306097444 & Score: -1119.241866
.Lambda : 0.01075256310442,0.13794292021678 & Score: -1119.230930
.Lambda : 0.01075250275707,0.13836045543182 & Score: -1119.221169
.Lambda : 0.01075243012615,0.13910346608545 & Score: -1119.204540
.Lambda : 0.01075240555903,0.13975441696261 & Score: -1119.190707
.Lambda : 0.01075231450278,0.14098564077411 & Score: -1119.168003
.Lambda : 0.01075218152451,0.14214618664278 & Score: -1119.150586
.Lambda : 0.01075199073456,0.14424781985578 & Score: -1119.126663
.Lambda : 0.01075187511119,0.14612999454444 & Score: -1119.113180
.Lambda : 0.01075159760370,0.14964325877394 & Score: -1119.109091
.Lambda : 0.01075127383549,0.15290543785561 & Score: -1119.128170
.Lambda : 0.01075231450278,0.14098564077411 & Score: -1119.168003
.Lambda : 0.01075205433596,0.14396559004449 & Score: -1119.128842
.Lambda : 0.01075179416913,0.14694553931486 & Score: -1119.110109
.Lambda : 0.01075143571960,0.15127434831477 & Score: -1119.116079
.Lambda : 0.01075195605324,0.14531444977403 & Score: -1119.117700
.Lambda : 0.01075182596983,0.14680442440921 & Score: -1119.110334
.Lambda : 0.01075156580301,0.14978437367959 & Score: -1119.109693
.Lambda : 0.01075136923758,0.15248209313867 & Score: -1119.123940
